,Unnamed: 0.1,Unnamed: 0,istab,wind,stab,x,sig_x,sig_y,sig_z,how
60,60,60,5,0.8,F,3162.2776601683795,1114.5285502855777,1114.5285502855777,56.60983121503847,fit
61,61,61,5,0.8,F,5623.413251903491,1624.2831948286246,1624.2831948286246,83.42499982632413,fit
62,62,62,5,0.8,F,10000,2102.060931175424,2102.060931175424,115.07178650601364,fit
63,63,63,5,0.8,F,31622.776601683792,5216.872972294876,5216.872972294876,195.662695,fit
64,64,64,5,0.8,F,100000,29284.27910066905,29284.27910066905,310.7376896465892,fit
143,143,143,5,2.3,F,0.001,0.001,0.001,0.001,fit
143,143,143,5,2.3,F,1,1.2111999195337713,1.2111999195337713,0.010150848,fit
144,144,144,5,2.3,F,3.1622776601683795,3.150031308,3.150031308,0.030628664,fit
145,145,145,5,2.3,F,10,9.257497814192291,9.257497814192291,0.083551505,fit
146,146,146,5,2.3,F,31.6227766,20.567419496665128,20.567419496665128,0.5648214708286017,fit
147,147,147,5,2.3,F,100,61.729144050398375,61.729144050398375,4.109972750868663,fit
148,148,148,5,2.3,F,316.227766,120.52867102339071,120.52867102339071,6.996923176110165,fit
149,149,149,5,2.3,F,1000,242.73126676523344,242.73126676523344,13.663744216101149,fit
150,150,150,5,2.3,F,1778.2794100389228,359.76123476142743,359.76123476142743,19.78904897770378,fit
151,151,151,5,2.3,F,3162.2776601683795,510.0643216771949,510.0643216771949,31.47419240646152,fit
